Srl,Full Name,Block,Item /Col.,Field Length,Field_Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,match,field_name,field_type,field_len,Unnamed: 13,Unnamed: 14,Unnamed: 15
45.0,Industry Code (NIC),5.2,5,5.0,ind_sas,IND_SAS,C,5.0,1.0,HAS_SAS,C,1.0,has_sas,,
46.0,Occupation Code (NCO),5.2,6,3.0,ocu_sas,OCU_SAS,C,3.0,1.0,LOC_PAS,C,2.0,loc_pas,,
47.0,(Subsidiary) location Of Workplace Code,5.2,7,2.0,loc_sas,LOC_SAS,C,2.0,1.0,ETYP_PAS,C,2.0,etyp_pas,,
48.0,(Subsidiary)  Enterprise Type Code,5.2,8,2.0,etyp_sas,ETYP_SAS,C,2.0,1.0,WRKR_PAS,C,1.0,wrkr_pas,,
49.0,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1.0,wrkr_sas,WRKR_SAS,C,1.0,1.0,JOB_PAS,C,1.0,job_pas,,
50.0,(Subsidiary)   Type Of Job Contract,5.2,10,1.0,job_sas,JOB_SAS,C,1.0,1.0,LEAVE_PAS,C,1.0,leave_pas,,
51.0,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1.0,leave_sas,LEAVE_SAS,C,1.0,1.0,SSEC_PAS,C,1.0,ssec_pas,,
52.0,(Subsidiary)  Social Security Benefits,5.2,12,1.0,ssec_sas,SSEC_SAS,C,1.0,1.0,ECOPRD_PAS,C,1.0,ecoprd_pas,,
53.0,(Subsidiary) Usage of product of the economic activity,5.2,13,1.0,ecoprd_sas,ECOPRD_SAS,C,1.0,1.0,B51C15,C,1.0,,,
54.0,Ever Worked Prior to last 365 days,5.3,5,1.0,wrk_365,WRK_365,C,1.0,1.0,B51C16,C,1.0,,,
55.0,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1.0,dur_pas,DUR_PAS,C,1.0,1.0,SAS,C,2.0,sas,,
56.0,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1.0,dur_sas,DUR_SAS,C,1.0,1.0,DESC_SAS,C,100.0,,,
57.0,Efforts undertaken to search work,5.3,8,1.0,eff_pas,EFF_PAS,C,1.0,1.0,NONAGRI2,C,1.0,,,
58.0,Duration of spell of Unemployment,5.3,9,1.0,dur_unp,DUR_UNP,C,1.0,1.0,IND_SAS,C,5.0,ind_sas,,
59.0,Whether Ever Worked ,5.3,10,1.0,evr_wrk,EVR_WRK,C,1.0,1.0,OCU_SAS,C,3.0,ocu_sas,,
60.0, Reason for not working in last 365 days,5.3,11,2.0,rea_nw,REA_NW,C,2.0,1.0,LOC_SAS,C,2.0,loc_sas,,
61.0,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1.0,rea,REA,C,1.0,1.0,ETYP_SAS,C,2.0,etyp_sas,,
62.0,Status Code for activity 1,6,4/3.1,2.0,das17,DAS17,C,2.0,1.0,WRKR_SAS,C,1.0,wrkr_sas,,
63.0,Industry Code (NIC) for activity 1,6,5/3.1,2.0,ind17,IND17,C,2.0,1.0,JOB_SAS,C,1.0,job_sas,,
