round,status,households,persons,ur,lfpr,wpr
204_july2017_june2018,ok,96092,433339,7.8031167915053965,47.07603574211496,43.4026376923469
206_july2020_june2021,ok,100130,413405,5.014948706658702,51.61114491131046,49.02287246708895
210_july2022_june2023,ok,101655,419512,3.9418331308811463,52.60759922039234,50.533895444961736
213_july2023_june2024,ok,101920,418159,4.177693937393967,54.19338429892997,51.92935056860496
214_july2021_june2022,ok,101782,428525,4.848123889923421,51.644062679324556,49.1402945388412
216_july2018_june2019,ok,99361,420757,7.4129331895495305,46.68140643725634,43.220944966120456
217_july2019_june2020,ok,99773,418297,6.323401307710877,49.04262875613799,45.941466528036564
