Srl,Full Name,Block,Item /Col.,Field Length,Field_Name
112,Industry Code (NIC) for activity 1,6,5/3.6,2,ind12
113,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,hr12
114,wage earning for activity 1 on 2nd day,6,9/3.6,5,ern12
115,Status Code for activity 2,6,4/3.6,2,das22
116,Industry Code (NIC) for activity 2,6,5/3.6,2,ind22
117,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,hr22
118,wage earning for activity 2 on 2nd day,6,9/3.6,5,ern22
119,total hours actually worked on 2nd day,6,7/3.6,2,hr2
120,hours available for aditional worked on 2nd day,6,8/3.6,2,ahr2
121,Status Code for activity 1,6,4/3.7,2,das11
122,Industry Code (NIC) for activity 1,6,5/3.7,2,ind11
123,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,hr11
124,wage earning for activity 1 on 1st day,6,9/3.7,5,ern11
125,Status Code for activity 2,6,4/3.7,2,das21
126,Industry Code (NIC) for activity 2,6,5/3.7,2,ind21
127,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,hr21
128,wage earning for activity 2 on 1st day,6,9/3.7,5,ern21
129,total hours actually worked on 1st day,6,7/3.7,2,hr1
130,hours available for aditional worked on 1st day,6,8/3.7,2,ahr1
131,Current Weekly Status (CWS),6,5,2,acws
132,Industry Code (CWS),6,6,2,aind_cws
133,Occupation Code (CWS),6,7,3,ocu_cws
134,Earnings For Regular Salaried/Wage Activity,6,9,8,ern_reg
135,Earnings For Self Employed,6,10,8,ern_self
136,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,nss
137,Ns count for sector x stratum x substratum,Generated,,3,nsc
138,Sub-sample wise Multiplier,Generated,,10,mult
139,Occurence of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,no_qtr
