sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,23,1,2,1,D002,Morena
1,23,1,2,2,D002,Morena
1,27,1,2,1,D002,Dhule
1,27,1,2,2,D002,Dhule
2,5,1,9,1,D002,Chamoli
2,22,1,9,1,D002,Surguja
2,23,1,9,1,D002,Morena
2,27,1,9,1,D002,Dhule
1,1,2,2,1,D002,Budgam
1,2,2,1,1,D002,Kangra
1,2,2,2,1,D002,Kangra
1,3,2,2,1,D002,Kapurthala
1,6,2,2,1,D002,Ambala
1,8,2,1,1,D002,Hanumangarh
1,8,2,2,1,D002,Hanumangarh
1,9,2,2,1,D002,Muzaffarnagar
1,9,2,2,2,D002,Muzaffarnagar
1,9,2,2,3,D002,Muzaffarnagar
1,10,2,2,1,D002,Purba Champaran
1,10,2,2,2,D002,Purba Champaran
1,10,2,2,3,D002,Purba Champaran
1,10,2,2,4,D002,Purba Champaran
1,18,2,2,1,D002,Dhubri
1,18,2,2,2,D002,Dhubri
1,19,2,2,1,D002,Jalpaiguri
1,19,2,2,2,D002,Jalpaiguri
1,21,2,2,1,D002,Jharsuguda
1,24,2,2,1,D002,Banas Kantha
1,24,2,2,2,D002,Banas Kantha
1,24,2,2,3,D002,Banas Kantha
1,28,2,2,1,D002,Vizianagaram
1,28,2,2,2,D002,Vizianagaram
1,29,2,2,1,D002,Bagalkote
1,29,2,2,2,D002,Bagalkote
1,30,2,2,1,D002,South Goa
1,32,2,2,1,D002,Kannur
2,1,2,9,1,D002,Budgam
2,2,2,9,1,D002,Kangra
2,3,2,9,1,D002,Kapurthala
2,6,2,9,1,D002,Ambala
2,7,2,9,1,D002,North Delhi
2,7,2,9,2,D002,North Delhi
2,8,2,9,1,D002,Hanumangarh
2,9,2,9,1,D002,Muzaffarnagar
2,9,2,9,2,D002,Muzaffarnagar
2,10,2,9,1,D002,Purba Champaran
2,18,2,9,1,D002,Dhubri
2,19,2,9,1,D002,Jalpaiguri
2,21,2,9,1,D002,Jharsuguda
2,24,2,9,1,D002,Banas Kantha
2,28,2,9,1,D002,Vizianagaram
2,29,2,9,1,D002,Bagalkote
2,30,2,9,1,D002,South Goa
2,32,2,9,1,D002,Kannur
2,32,2,9,2,D002,Kannur
2,32,2,9,3,D002,Kannur
2,7,3,9,1,D003,North East Delhi
2,7,202,9,1,D003,North East Delhi
2,7,202,9,2,D003,North East Delhi
2,7,4,9,1,D004,East Delhi
1,15,1,2,1,D003,Aizawl
2,15,1,9,1,D003,Aizawl
2,15,1,9,2,D003,Aizawl
2,15,1,9,3,D003,Aizawl
1,20,2,2,1,D003,Koderma
1,23,2,2,1,D003,Bhind
1,23,2,2,2,D003,Bhind
1,27,2,2,1,D003,Jalgaon
1,27,2,2,2,D003,Jalgaon
1,27,2,2,3,D003,Jalgaon
1,33,2,2,1,D003,Kancheepuram
1,36,2,2,1,D003,Mancherial
2,20,2,9,1,D003,Koderma
2,23,2,9,1,D003,Bhind
2,27,2,9,1,D003,Jalgaon
2,27,2,9,2,D003,Jalgaon
2,33,2,9,1,D003,Kancheepuram
2,33,2,9,2,D003,Kancheepuram
2,36,2,9,1,D003,Mancherial
1,3,3,2,1,D003,Jalandhar
1,6,3,2,1,D003,Yamunanagar
1,8,3,2,1,D003,Bikaner
1,8,3,2,2,D003,Bikaner
1,9,3,2,1,D003,Bijnor
1,9,3,2,2,D003,Bijnor
1,18,3,2,1,D003,Goalpara
1,21,3,1,1,D003,Sambalpur
1,24,3,2,1,D003,Patan
1,24,3,2,2,D003,Patan
1,28,3,2,1,D003,Visakhapatnam
1,29,3,2,1,D003,Bijapur
1,29,3,2,2,D003,Bijapur
2,3,3,9,1,D003,Jalandhar
2,3,3,9,2,D003,Jalandhar
